step,epoch,loss,eval_loss,learning_rate,seconds
5,0.0142,0.7015122413635254,,5.714285714285715e-07,476.4
10,0.0284,0.6906957626342773,,1.2857142857142856e-06,493.7
15,0.0426,0.6881024360656738,,2.0000000000000003e-06,511.4
20,0.0568,0.6792624473571778,,2.7142857142857144e-06,529.0
25,0.071,0.6962597846984864,,3.428571428571429e-06,545.8
30,0.0852,0.6909512996673584,,4.1428571428571435e-06,562.6
35,0.0994,0.6841504573822021,,4.857142857142858e-06,579.3
40,0.1136,0.6690222263336182,,4.99804827338393e-06,596.6
45,0.1278,0.6523576259613038,,4.9901246065380425e-06,613.6
50,0.142,0.6662243366241455,,4.97612633129029e-06,630.6
55,0.1562,0.6729489803314209,,4.956087596148824e-06,647.9
60,0.1704,0.6502724170684815,,4.930057285201028e-06,665.4
65,0.1846,0.651282548904419,,4.898098898861766e-06,682.5
70,0.1988,0.6519303798675538,,4.860290398965423e-06,699.6
75,0.213,0.6456853866577148,,4.816724018579584e-06,716.6
80,0.2272,0.618942403793335,,4.767506037004344e-06,733.7
85,0.2414,0.6212345123291015,,4.71275652050611e-06,750.5
90,0.2556,0.6100664138793945,,4.652609029418389e-06,768.4
95,0.2698,0.6114047527313232,,4.587210292324062e-06,785.7
100,0.284,0.604276466369629,,4.516719848113983e-06,802.7
105,0.2982,0.6099663734436035,,4.441309656795106e-06,819.8
110,0.3124,0.6004324436187745,,4.361163679997532e-06,837.4
115,0.3266,0.585679578781128,,4.276477432203849e-06,855.0
120,0.3408,0.5825143337249756,,4.187457503795526e-06,871.6
125,0.355,0.5887165069580078,,4.094321057079874e-06,888.4
130,0.3692,0.5645850658416748,,3.997295296527001e-06,905.4
135,0.3834,0.604764175415039,,3.8966169145091314e-06,922.5
140,0.3976,0.6083346366882324,,3.792531513894365e-06,939.7
145,0.4118,0.5446524143218994,,3.685293008903471e-06,957.0
150,0.426,0.5761509895324707,,3.5751630056913017e-06,973.8
155,0.4402,0.5475180625915528,,3.462410164163893e-06,991.0
160,0.4544,0.5577684879302979,,3.3473095425880795e-06,1008.2
165,0.4686,0.5382849216461182,,3.23014192659244e-06,1025.2
170,0.4828,0.5675369262695312,,3.111193144196457e-06,1042.6
175,0.497,0.5661351680755615,,2.990753368538872e-06,1059.8
180,0.5112,0.5677203178405762,,2.8691164100062035e-06,1077.1
185,0.5254,0.5331442356109619,,2.7465789994882796e-06,1095.6
190,0.5396,0.5675019741058349,,2.6234400645092576e-06,1112.7
195,0.5538,0.5431388854980469,,2.5e-06,1130.5
200,0.568,0.5417032718658448,,2.376559935490743e-06,1147.6
205,0.5822,0.5345361232757568,,2.253421000511721e-06,1164.5
210,0.5964,0.5596221923828125,,2.1308835899937974e-06,1181.6
215,0.6106,0.5780049800872803,,2.009246631461129e-06,1199.4
220,0.6248,0.5134052753448486,,1.8888068558035435e-06,1216.4
225,0.639,0.5479560852050781,,1.769858073407561e-06,1233.6
230,0.6532,0.5351492404937744,,1.6526904574119213e-06,1251.2
235,0.6674,0.5260660648345947,,1.5375898358361079e-06,1269.0
240,0.6816,0.5487157821655273,,1.4248369943086997e-06,1285.8
245,0.6958,0.560085391998291,,1.31470699109653e-06,1302.4
250,0.71,0.5221296787261963,,1.207468486105636e-06,1319.7
255,0.7242,0.5287688732147217,,1.1033830854908692e-06,1337.0
260,0.7384,0.5526099681854248,,1.0027047034730003e-06,1354.3
265,0.7526,0.5280021667480469,,9.05678942920127e-07,1371.6
270,0.7668,0.5046653747558594,,8.125424962044745e-07,1389.0
275,0.781,0.5391767978668213,,7.235225677961513e-07,1406.1
280,0.7952,0.5479637145996094,,6.388363200024683e-07,1423.8
285,0.8094,0.5396678924560547,,5.586903432048943e-07,1441.2
290,0.8236,0.5727583408355713,,4.832801518860175e-07,1458.5
295,0.8378,0.5230671882629394,,4.127897076759399e-07,1475.9
300,0.852,0.5645988941192627,,3.4739097058161116e-07,1493.2
305,0.8662,0.5300408840179444,,2.8724347949389056e-07,1510.6
310,0.8804,0.5606242179870605,,2.3249396299565685e-07,1527.6
315,0.8946,0.5240323066711425,,1.832759814204166e-07,1544.5
320,0.9088,0.5019528865814209,,1.3970960103457722e-07,1561.7
325,0.923,0.5229284286499023,,1.0190110113823426e-07,1579.4
330,0.9372,0.5573291778564453,,6.994271479897313e-08,1596.7
335,0.9514,0.527281379699707,,4.391240385117623e-08,1613.9
340,0.9656,0.5226766109466553,,2.387366870971103e-08,1631.4
345,0.9798,0.5491499900817871,,9.87539346195776e-09,1648.2
350,0.994,0.5384944438934326,,1.951726616070404e-09,1666.0
353,1.0,,,,1673.6
