step,epoch,loss,eval_loss,learning_rate,seconds
5,0.0142,0.7036544799804687,,5.714285714285715e-07,470.4
10,0.0284,0.6858307361602783,,1.2857142857142856e-06,487.4
15,0.0426,0.705487060546875,,2.0000000000000003e-06,505.2
20,0.0569,0.6831765651702881,,2.7142857142857144e-06,522.1
25,0.0711,0.7007623195648194,,3.428571428571429e-06,539.3
30,0.0853,0.6907244205474854,,4.1428571428571435e-06,556.5
35,0.0995,0.6799576759338379,,4.857142857142858e-06,573.6
40,0.1137,0.6676663875579834,,4.998035941844167e-06,590.8
45,0.1279,0.6694016933441163,,4.990062244319387e-06,607.8
50,0.1421,0.6332022190093994,,4.975975713284426e-06,625.2
55,0.1564,0.6411553382873535,,4.95581092964952e-06,642.0
60,0.1706,0.6398504257202149,,4.929617395777678e-06,658.9
65,0.1848,0.602069902420044,,4.897459413961729e-06,675.8
70,0.199,0.5856266498565674,,4.859415928569154e-06,693.6
75,0.2132,0.5885863304138184,,4.815580332242199e-06,710.5
80,0.2274,0.5923810958862304,,4.766060236629037e-06,727.8
85,0.2416,0.5865410327911377,,4.710977208208812e-06,745.2
90,0.2559,0.5708571434020996,,4.6504664698590795e-06,762.0
95,0.2701,0.5587395191192627,,4.584676568898267e-06,779.2
100,0.2843,0.5416952133178711,,4.5137690124180714e-06,796.4
105,0.2985,0.5462287425994873,,4.4379178708010155e-06,813.9
110,0.3127,0.5416662693023682,,4.357309350396488e-06,831.4
115,0.3269,0.5158627033233643,,4.27214133640429e-06,848.6
120,0.3412,0.5599886894226074,,4.182622907087872e-06,865.7
125,0.3554,0.5229805946350098,,4.088973820509811e-06,882.6
130,0.3696,0.5134909629821778,,3.9914239750495276e-06,899.7
135,0.3838,0.487742280960083,,3.890212845027637e-06,917.2
140,0.398,0.5228357791900635,,3.785588892822383e-06,934.6
145,0.4122,0.48088803291320803,,3.6778089589213756e-06,951.9
150,0.4264,0.5162196159362793,,3.5671376314059676e-06,969.4
155,0.4407,0.5355317115783691,,3.4538465964161315e-06,986.1
160,0.4549,0.483794641494751,,3.3382139711903707e-06,1003.7
165,0.4691,0.5400774478912354,,3.2205236213179736e-06,1021.0
170,0.4833,0.4625680923461914,,3.1010644638796956e-06,1038.2
175,0.4975,0.46888065338134766,,2.980129758187567e-06,1055.1
180,0.5117,0.5141093254089355,,2.858016385865004e-06,1072.1
185,0.5259,0.4995570182800293,,2.7350241220345273e-06,1088.9
190,0.5402,0.46184511184692384,,2.6114548994022575e-06,1106.5
195,0.5544,0.4728632926940918,,2.4876120670457753e-06,1123.5
200,0.5686,0.43267321586608887,,2.3637996457249433e-06,1140.8
205,0.5828,0.48346571922302245,,2.240321581543822e-06,1158.5
210,0.597,0.5151946544647217,,2.117480999795853e-06,1175.3
215,0.6112,0.4940346717834473,,1.995579460824048e-06,1192.1
220,0.6254,0.4871843338012695,,1.8749162197229626e-06,1209.6
225,0.6397,0.45561957359313965,,1.7557874916997996e-06,1226.9
230,0.6539,0.44510588645935056,,1.6384857248981117e-06,1244.5
235,0.6681,0.4380156993865967,,1.5232988824692406e-06,1261.5
240,0.6823,0.4854434967041016,,1.4105097356539204e-06,1278.5
245,0.6965,0.5089702606201172,,1.300395169609463e-06,1295.2
250,0.7107,0.5025969505310058,,1.1932255036866457e-06,1311.7
255,0.7249,0.5208121299743652,,1.089263827824934e-06,1329.8
260,0.7392,0.47044148445129397,,9.887653566951405e-07,1346.8
265,0.7534,0.4731353759765625,,8.919768031750025e-07,1363.7
270,0.7676,0.4884308338165283,,7.991357726957541e-07,1380.9
275,0.7818,0.46974706649780273,,7.104701799464856e-07,1398.4
280,0.796,0.4797703742980957,,6.261976893682365e-07,1416.1
285,0.8102,0.48131103515625,,5.465251808113247e-07,1433.4
290,0.8244,0.4969460964202881,,4.7164824166769764e-07,1450.3
295,0.8387,0.4659970760345459,,4.0175068672502786e-07,1467.3
300,0.8529,0.487384557723999,,3.3700410692129813e-07,1485.6
305,0.8671,0.4880832672119141,,2.7756744810759825e-07,1502.6
310,0.8813,0.48294830322265625,,2.235866208532572e-07,1519.6
315,0.8955,0.48552355766296384,,1.7519414225116937e-07,1537.2
320,0.9097,0.4302210807800293,,1.325088106026695e-07,1554.7
325,0.924,0.46750664710998535,,9.563541378054569e-08,1571.9
330,0.9382,0.46353492736816404,,6.466447198614805e-08,1590.0
335,0.9524,0.4343911647796631,,3.9672015532081223e-08,1607.1
340,0.9666,0.41441998481750486,,2.0719398196012708e-08,1624.4
345,0.9808,0.4569422245025635,,7.853146603780948e-09,1641.5
350,0.995,0.48074955940246583,,1.1048460115634096e-09,1659.1
352,1.0,,,,1665.0
