step,epoch,loss,eval_loss,learning_rate,seconds
5,0.0135,0.6939400196075439,,5.555555555555555e-07,522.5
10,0.027,0.6923686981201171,,1.25e-06,539.7
15,0.0406,0.6921826839447022,,1.944444444444445e-06,558.0
20,0.0541,0.698862361907959,,2.6388888888888893e-06,575.8
25,0.0676,0.6854832649230957,,3.3333333333333333e-06,593.2
30,0.0811,0.6855801582336426,,4.027777777777779e-06,610.5
35,0.0946,0.6789278030395508,,4.722222222222222e-06,628.0
40,0.1081,0.6637094020843506,,4.9990047538258416e-06,645.7
45,0.1217,0.667957878112793,,4.992925563275714e-06,663.6
50,0.1352,0.6454166889190673,,4.981333523915792e-06,681.1
55,0.1487,0.65370192527771,,4.9642542703503874e-06,698.4
60,0.1622,0.6389436244964599,,4.941725571594377e-06,715.9
65,0.1757,0.6263125896453857,,4.913797247550912e-06,733.9
70,0.1893,0.6079028129577637,,4.880531058839816e-06,751.8
75,0.2028,0.623732328414917,,4.84200057022032e-06,769.6
80,0.2163,0.6068738460540771,,4.798290987910152e-06,787.3
85,0.2298,0.5922050952911377,,4.749498971160742e-06,805.4
90,0.2433,0.5662975311279297,,4.695732418505214e-06,822.9
95,0.2568,0.5684404850006104,,4.6371102291518635e-06,840.6
100,0.2704,0.5398899555206299,,4.573762040050772e-06,858.5
105,0.2839,0.581594181060791,,4.505827939215009e-06,875.9
110,0.2974,0.5574556350708008,,4.43345815593038e-06,894.0
115,0.3109,0.5339264869689941,,4.3568127285387925e-06,911.3
120,0.3244,0.5416845798492431,,4.276061150529903e-06,928.6
125,0.338,0.5607174873352051,,4.191381995723672e-06,945.9
130,0.3515,0.5494989395141602,,4.10296252337271e-06,963.4
135,0.365,0.5411295890808105,,4.0109982640576676e-06,980.5
140,0.3785,0.521996259689331,,3.9156925872914504e-06,997.3
145,0.392,0.5278500080108642,,3.817256251788425e-06,1015.2
150,0.4055,0.5238065242767334,,3.7159069393931717e-06,1031.9
155,0.4191,0.5306347846984864,,3.611868773699449e-06,1049.5
160,0.4326,0.4805747032165527,,3.5053718244238847e-06,1067.1
165,0.4461,0.5124852657318115,,3.3966515986304322e-06,1084.7
170,0.4596,0.5342839241027832,,3.2859485199306886e-06,1101.7
175,0.4731,0.5042178153991699,,3.1735073968117743e-06,1119.5
180,0.4867,0.5062925338745117,,3.05957688126751e-06,1136.6
185,0.5002,0.5078306198120117,,2.9444089189300783e-06,1153.9
190,0.5137,0.5094170093536377,,2.8282581919181314e-06,1170.9
195,0.5272,0.4819816589355469,,2.7113815556334478e-06,1187.8
200,0.5407,0.5258850574493408,,2.5940374707516014e-06,1204.9
205,0.5542,0.5076263427734375,,2.47648543166272e-06,1222.4
210,0.5678,0.49797763824462893,,2.358985392626298e-06,1239.7
215,0.5813,0.5223458290100098,,2.2417971929090593e-06,1257.0
220,0.5948,0.4889668464660645,,2.1251799821771015e-06,1274.3
225,0.6083,0.48552350997924804,,2.0093916474130354e-06,1291.5
230,0.6218,0.548609447479248,,1.8946882426254103e-06,1308.5
235,0.6353,0.5170793056488037,,1.7813234226115767e-06,1325.5
240,0.6489,0.4902609348297119,,1.6695478820261573e-06,1342.8
245,0.6624,0.48285622596740724,,1.5596088009955695e-06,1359.6
250,0.6759,0.5025113582611084,,1.451749298504568e-06,1377.5
255,0.6894,0.45029296875,,1.3462078947635781e-06,1395.8
260,0.7029,0.5284617424011231,,1.243217983745758e-06,1413.1
265,0.7165,0.5188317775726319,,1.1430073170601968e-06,1430.0
270,0.73,0.5121572017669678,,1.0457975003026278e-06,1446.7
275,0.7435,0.5076628208160401,,9.518035029974127e-07,1463.7
280,0.757,0.5438477993011475,,8.612331832145269e-07,1480.8
285,0.7705,0.4963392734527588,,7.74286827912785e-07,1498.6
290,0.784,0.4958793163299561,,6.911567100258021e-07,1515.4
295,0.7976,0.4912699222564697,,6.1202666327016e-07,1532.1
300,0.8111,0.47486233711242676,,5.370716756160158e-07,1549.4
305,0.8246,0.5244826316833496,,4.6645750231918864e-07,1566.7
310,0.8381,0.46119394302368166,,4.0034029937043527e-07,1584.0
315,0.8516,0.5169378757476807,,3.388662781725141e-07,1601.7
320,0.8652,0.48541860580444335,,2.821713822086919e-07,1619.0
325,0.8787,0.5371044635772705,,2.303809864176909e-07,1636.4
330,0.8922,0.4950380325317383,,1.836096199398929e-07,1653.3
335,0.9057,0.49068493843078614,,1.419607128479053e-07,1670.6
340,0.9192,0.5072298526763916,,1.0552636742158701e-07,1687.9
345,0.9327,0.46360135078430176,,7.438715447331018e-08,1704.8
350,0.9463,0.4888161182403564,,4.8611935173889235e-08,1721.7
355,0.9598,0.5038901329040527,,2.825770877317363e-08,1739.4
360,0.9733,0.5341231822967529,,1.336948655206144e-08,1756.7
365,0.9868,0.5139329433441162,,3.98019228467661e-09,1774.5
370,1.0,0.480469274520874,,1.1058943082203898e-10,1791.4
370,1.0,,,,1791.4
