step,epoch,loss,eval_loss,learning_rate,seconds
5,0.0135,0.6946703433990479,,5.555555555555555e-07,526.2
10,0.0271,0.7056085586547851,,1.25e-06,543.7
15,0.0406,0.6894722938537597,,1.944444444444445e-06,561.4
20,0.0542,0.6825426578521728,,2.6388888888888893e-06,579.2
25,0.0677,0.6750773906707763,,3.3333333333333333e-06,596.9
30,0.0813,0.6922225952148438,,4.027777777777779e-06,614.5
35,0.0948,0.6728867053985595,,4.722222222222222e-06,632.0
40,0.1084,0.6706149578094482,,4.9990047538258416e-06,650.1
45,0.1219,0.6590480327606201,,4.992925563275714e-06,667.7
50,0.1355,0.6608222961425781,,4.981333523915792e-06,686.0
55,0.149,0.6291024684906006,,4.9642542703503874e-06,703.5
60,0.1625,0.6426859855651855,,4.941725571594377e-06,721.1
65,0.1761,0.629392671585083,,4.913797247550912e-06,738.8
70,0.1896,0.6005560398101807,,4.880531058839816e-06,756.2
75,0.2032,0.6193928718566895,,4.84200057022032e-06,774.5
80,0.2167,0.6005101680755616,,4.798290987910152e-06,792.1
85,0.2303,0.5983983516693115,,4.749498971160742e-06,809.9
90,0.2438,0.5919422626495361,,4.695732418505214e-06,827.5
95,0.2574,0.5892245769500732,,4.6371102291518635e-06,845.2
100,0.2709,0.5630100250244141,,4.573762040050772e-06,862.9
105,0.2845,0.5553203582763672,,4.505827939215009e-06,880.5
110,0.298,0.5465547561645507,,4.43345815593038e-06,898.1
115,0.3115,0.578702163696289,,4.3568127285387925e-06,915.5
120,0.3251,0.5699584007263183,,4.276061150529903e-06,933.2
125,0.3386,0.5070768833160401,,4.191381995723672e-06,950.2
130,0.3522,0.5114080905914307,,4.10296252337271e-06,967.9
135,0.3657,0.5288796901702881,,4.0109982640576676e-06,985.5
140,0.3793,0.500578498840332,,3.9156925872914504e-06,1003.4
145,0.3928,0.5362732887268067,,3.817256251788425e-06,1021.6
150,0.4064,0.4884929180145264,,3.7159069393931717e-06,1039.9
155,0.4199,0.5293114662170411,,3.611868773699449e-06,1057.6
160,0.4335,0.5497905731201171,,3.5053718244238847e-06,1075.7
165,0.447,0.5074417591094971,,3.3966515986304322e-06,1093.1
170,0.4605,0.5406130313873291,,3.2859485199306886e-06,1110.7
175,0.4741,0.5157701015472412,,3.1735073968117743e-06,1129.2
180,0.4876,0.5147752285003662,,3.05957688126751e-06,1146.3
185,0.5012,0.4871540546417236,,2.9444089189300783e-06,1163.7
190,0.5147,0.4788846015930176,,2.8282581919181314e-06,1181.8
195,0.5283,0.5052193164825439,,2.7113815556334478e-06,1200.5
200,0.5418,0.4541326999664307,,2.5940374707516014e-06,1218.3
205,0.5554,0.4789417266845703,,2.47648543166272e-06,1237.0
210,0.5689,0.5435225009918213,,2.358985392626298e-06,1254.3
215,0.5825,0.47567386627197267,,2.2417971929090593e-06,1271.8
220,0.596,0.4935626983642578,,2.1251799821771015e-06,1289.4
225,0.6095,0.4843946933746338,,2.0093916474130354e-06,1307.0
230,0.6231,0.49586143493652346,,1.8946882426254103e-06,1325.2
235,0.6366,0.4752048492431641,,1.7813234226115767e-06,1342.6
240,0.6502,0.5005284786224365,,1.6695478820261573e-06,1360.5
245,0.6637,0.4653714656829834,,1.5596088009955695e-06,1377.9
250,0.6773,0.4503180027008057,,1.451749298504568e-06,1395.9
255,0.6908,0.4890142917633057,,1.3462078947635781e-06,1413.5
260,0.7044,0.4549111366271973,,1.243217983745758e-06,1431.2
265,0.7179,0.5022099018096924,,1.1430073170601968e-06,1449.0
270,0.7315,0.4835158348083496,,1.0457975003026278e-06,1467.1
275,0.745,0.4850306510925293,,9.518035029974127e-07,1484.5
280,0.7586,0.5173278331756592,,8.612331832145269e-07,1502.2
285,0.7721,0.5023101806640625,,7.74286827912785e-07,1519.8
290,0.7856,0.4813052177429199,,6.911567100258021e-07,1537.9
295,0.7992,0.45768108367919924,,6.1202666327016e-07,1556.0
300,0.8127,0.49290971755981444,,5.370716756160158e-07,1573.4
305,0.8263,0.4749875545501709,,4.6645750231918864e-07,1591.1
310,0.8398,0.46021418571472167,,4.0034029937043527e-07,1608.7
315,0.8534,0.46480603218078614,,3.388662781725141e-07,1626.0
320,0.8669,0.498544979095459,,2.821713822086919e-07,1643.3
325,0.8805,0.4829643726348877,,2.303809864176909e-07,1660.2
330,0.894,0.5091142654418945,,1.836096199398929e-07,1677.7
335,0.9076,0.4952735424041748,,1.419607128479053e-07,1695.0
340,0.9211,0.48543438911437986,,1.0552636742158701e-07,1712.4
345,0.9346,0.4726407527923584,,7.438715447331018e-08,1729.7
350,0.9482,0.4829847812652588,,4.8611935173889235e-08,1747.3
355,0.9617,0.48919086456298827,,2.825770877317363e-08,1764.4
360,0.9753,0.4821591377258301,,1.336948655206144e-08,1781.5
365,0.9888,0.5144780158996582,,3.98019228467661e-09,1799.1
370,1.0,0.44959659576416017,,1.1058943082203898e-10,1813.3
370,1.0,,,,1813.3
