temps,temp_c,dispo_mo,swap_mo,mhz
1789923925,57,5551,913,1837
1789923930,56,5562,913,1017
1789923935,56,5547,913,421
1789923940,55,5567,913,900
1789923945,56,5578,913,400
1789923950,56,5535,913,1397
1789923955,55,5528,912,481
1789923960,56,5567,909,1312
1789923965,56,5571,909,1395
1789923970,56,5566,909,1161
1789923975,56,5564,909,1569
1789923980,55,5557,909,586
1789923985,56,5553,909,1414
1789923990,54,5573,909,432
1789923995,57,5572,909,719
1789924000,55,5545,908,444
1789924005,57,5567,908,1125
1789924010,54,5576,908,2306
1789924015,54,5594,908,708
1789924020,56,5604,908,1705
1789924025,54,5595,908,1580
1789924030,56,5596,908,1311
1789924035,54,5595,908,400
1789924040,53,5595,908,960
1789924045,54,5596,908,926
1789924050,53,5596,908,400
1789924055,53,5595,908,1450
1789924060,54,5596,908,407
1789924065,53,5596,908,485
1789924070,54,5596,908,1350
1789924075,53,5596,908,440
1789924081,54,5597,908,1148
1789924086,53,5598,908,1236
1789924091,55,5598,908,595
1789924096,54,5597,908,1476
1789924101,53,5597,908,522
1789924106,53,5597,908,1763
1789924111,53,5600,908,692
1789924116,54,5599,908,461
1789924121,54,5603,908,453
1789924126,53,5602,908,1683
1789924131,54,5611,908,400
1789924136,53,5612,908,497
1789924141,53,5607,908,400
1789924146,54,5605,908,524
1789924151,53,5605,908,400
1789924156,53,5605,908,1494
1789924161,53,5604,908,807
1789924166,53,5599,908,1074
1789924171,52,5601,908,1153
1789924176,53,5606,908,511
1789924181,54,5611,908,1235
1789924186,53,5609,908,400
1789924191,52,5608,908,477
1789924196,53,5611,908,1534
1789924201,52,5610,908,734
1789924206,53,5603,908,565
1789924211,53,5607,908,1316
1789924216,53,5607,908,1422
1789924221,53,5608,908,758
1789924226,52,5610,908,1213
1789924231,53,5609,908,1226
1789924236,53,5605,908,1328
1789924241,54,5606,908,1768
1789924246,52,5606,908,842
1789924251,53,5605,908,741
1789924256,52,5609,908,517
1789924261,53,5619,908,1365
1789924266,52,5607,908,1430
1789924271,54,5607,908,406
1789924276,53,5607,908,1525
1789924281,53,5606,908,1100
1789924286,52,5617,908,942
1789924291,54,5611,908,522
1789924296,53,5609,908,1428
1789924301,53,5608,908,2031
1789924306,55,5604,908,1372
1789924311,53,5605,908,624
1789924316,53,5604,908,1731
1789924321,53,5605,908,1235
1789924327,54,5602,908,1546
1789924332,54,5606,908,1024
1789924337,53,5604,908,567
1789924342,54,5596,908,1602
1789924347,54,5606,908,2309
1789924352,52,5600,908,462
1789924357,54,5593,908,667
1789924362,55,5588,907,1141
1789924367,55,5589,907,488
1789924372,53,5585,907,1488
1789924377,53,5586,907,2257
1789924382,54,5590,907,549
1789924387,54,5578,907,844
1789924392,54,5576,907,2307
1789924397,56,5582,907,2384
1789924402,54,5580,907,400
1789924407,53,5584,907,474
1789924412,53,5583,907,1270
1789924417,55,5581,907,473
1789924422,56,5579,907,1268
1789924427,54,5585,907,2108
1789924432,54,5590,907,407
1789924437,53,5588,907,1933
1789924442,53,5580,907,667
1789924447,55,5589,907,3116
1789924452,54,5557,907,2068
1789924457,52,5565,907,436
1789924462,53,5559,907,2149
1789924467,54,5534,907,4299
1789924472,52,5553,907,1336
1789924477,56,5567,907,3290
1789924482,50,5571,907,829
1789924487,52,5573,907,1284
1789924492,53,5567,907,1449
1789924497,51,5591,907,695
1789924502,50,5594,907,400
1789924507,53,5610,907,2388
1789924512,50,5597,907,400
1789924517,50,5604,907,400
1789924522,51,5565,907,942
1789924527,49,5567,907,777
1789924532,49,5545,907,607
1789924537,49,5578,907,614
1789924542,49,5586,907,2724
1789924547,49,5584,907,1182
1789924552,50,5583,907,1179
1789924557,50,5580,907,620
1789924562,49,5591,907,650
1789924568,49,5592,907,846
1789924573,51,5598,907,3426
1789924578,48,5607,906,535
1789924583,49,5582,906,518
1789924588,48,5591,906,1000
1789924593,49,5595,906,508
1789924598,49,5587,906,787
1789924603,57,5585,905,1541
1789924608,54,5585,905,3134
1789924613,52,5599,905,3362
1789924618,53,5594,905,573
1789924623,54,5593,905,629
1789924628,53,5594,905,1413
1789924633,53,5593,905,507
1789924638,56,5595,905,1479
1789924643,53,5596,905,412
1789924648,54,5593,905,1233
1789924653,54,5596,905,400
1789924658,54,5592,905,400
1789924663,56,5592,905,681
1789924668,55,5592,905,2681
1789924673,56,5594,905,613
1789924678,56,5594,905,490
1789924683,56,5594,905,546
1789924688,55,5591,905,490
1789924693,56,5591,905,1263
1789924698,56,5593,905,567
1789924703,56,5590,905,1164
1789924708,56,5591,905,1214
1789924713,56,5591,905,580
1789924718,57,5589,905,529
1789924723,57,5587,905,1214
1789924728,57,5591,905,990
1789924733,57,5589,905,3664
1789924738,58,5590,905,2503
1789924743,59,5591,905,518
1789924748,57,5589,905,870
1789924753,58,5583,905,850
1789924758,58,5585,905,451
1789924763,62,5583,905,1878
1789924768,58,5586,905,2439
1789924773,57,5592,905,400
1789924778,58,5585,905,400
1789924783,57,5589,905,400
1789924788,57,5586,905,400
1789924793,58,5588,905,400
1789924798,59,5586,905,2529
1789924804,57,5588,905,400
1789924809,59,5589,905,745
1789924814,57,5588,905,400
